,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
DWD-GCFS2.1,May,0.5319611692190324,0.43250982268702964,0.556973738715402,0.5074869791666666,0.4755859375,0.4654947916666667,0.5595211288509452,0.5302253761711367,0.5863578272623714,0.3997395833333333,0.46875,0.4134114583333333,0.5371376139952693,0.48746872203457714,0.54455761815515
CMCC-SPSv3.5,March,0.5909681164596347,0.459719699498512,0.5739113765300331,0.5426432291666666,0.5227864583333334,0.4944661458333333,0.549465191327536,0.5041430302761719,0.528686794466224,0.6070963541666666,0.513671875,0.61328125,0.5733733778334484,0.4855282727120075,0.5488157696267918
CMCC-SPSv3.5,April,0.6609784523442618,0.5603379689264177,0.5908366245027491,0.5911458333333334,0.4759114583333333,0.537109375,0.5708673243442454,0.4939784550366041,0.5978487196319947,0.4860026041666667,0.5042317708333334,0.5572916666666666,0.5734873562303302,0.4972492196985952,0.5785231388109446
CMCC-SPSv3.5,May,0.6019974487660961,0.6067997950140386,0.6572554099469405,0.5986328125,0.5205078125,0.4873046875,0.5496877294610855,0.5176481077057435,0.6043386778534533,0.6474609375,0.5576171875,0.6136067708333334,0.5229788346021161,0.5323462712738056,0.5593466332050657
NCEP-CFSv2,March,0.6124327689968861,0.47023658020432446,0.5638989590741285,0.6044921875,0.4720052083333333,0.6201171875,0.5900936831782041,0.5000881136522328,0.6001572007900277,0.6194661458333334,0.513671875,0.5875651041666666,0.579444858650166,0.4869785563809817,0.6022278386474386
NCEP-CFSv2,April,0.6495627862679721,0.4661473935887186,0.6196087286324764,0.6204427083333334,0.5322265625,0.6103515625,0.607914284043187,0.5244920931455844,0.574512658944008,0.4557291666666667,0.458984375,0.4567057291666667,0.5734578602916356,0.502663051398124,0.5875740158676693
NCEP-CFSv2,May,0.6375816074877719,0.4690655822328348,0.600439309068188,0.748046875,0.4072265625,0.5826822916666666,0.5370554672119924,0.4869840456701038,0.5725604202332036,0.537109375,0.537109375,0.6129557291666666,0.5413130301446291,0.5070269703740252,0.5941571555748482
JMA-CPS3,March,0.669757629200386,0.568510510364066,0.6240759758837844,0.4713541666666667,0.501953125,0.4498697916666667,0.6015797036267366,0.5013018352741572,0.5583726875200941,0.4169921875,0.4798177083333333,0.4524739583333333,0.5464241735913666,0.5039778237814945,0.5556050522845423
JMA-CPS3,April,0.6047572288603555,0.5025476906135802,0.6363447392004226,0.5576171875,0.4817708333333333,0.5094401041666666,0.5768692411505448,0.4969506590172016,0.5690792186098409,0.5777994791666666,0.4729817708333333,0.5055338541666666,0.535684113125231,0.47954105205087866,0.5337912221012602
JMA-CPS3,May,0.6090192237265464,0.5605635733981589,0.5424474367847109,0.5950520833333334,0.4498697916666667,0.5113932291666666,0.6038648931360525,0.539933749300879,0.5678197788760597,0.3369140625,0.4521484375,0.3639322916666667,0.6458485007200283,0.5196788653488876,0.6123704532569313
ECCC-GEM5-NEMO,March,0.5657256325804672,0.5990863553261621,0.5882036685209423,0.4462890625,0.5159505208333334,0.35546875,0.4871093598854687,0.49094914697046155,0.5304089154047509,0.4853515625,0.4723307291666667,0.4469401041666667,0.44336773178352357,0.5073124641476556,0.47574861531404
ECCC-GEM5-NEMO,April,0.5361069648236159,0.5015396190934577,0.5048268112805212,0.4912109375,0.5494791666666666,0.4134114583333333,0.45308241147457734,0.5023777262077513,0.4682312666927516,0.4303385416666667,0.5071614583333334,0.443359375,0.5453253173377849,0.49153292147912564,0.5527250015927063
ECCC-GEM5-NEMO,May,0.6244259267476908,0.54447311634826,0.6253151080224958,0.5022786458333334,0.3876953125,0.4973958333333333,0.4908252486355384,0.5183462157919584,0.5149732532751746,0.4567057291666667,0.4986979166666667,0.5244140625,0.5759179450045969,0.5068294462997893,0.5787542444312436
