,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
DWD-GCFS2.1,December,0.4367554600210724,0.5058179169076358,0.4887096352134543,0.5341796875,0.5836588541666666,0.5634765625,0.4592233743366817,0.4413328149542516,0.49373559433212,0.490234375,0.416015625,0.3626302083333333,0.471447299331619,0.4938368550835474,0.48724347627512726
DWD-GCFS2.1,January,0.47388694071338916,0.5371269029785525,0.4633363068200651,0.6129557291666666,0.666015625,0.7490234375,0.4884399663770786,0.4900492447551732,0.42538540591362567,0.4723307291666667,0.5240885416666666,0.4876302083333333,0.5133129092263943,0.48706593103755275,0.4492268154853941
DWD-GCFS2.1,February,0.3326256078001467,0.48916651693907753,0.42185801799829825,0.6770833333333334,0.5403645833333334,0.7386067708333334,0.5656594830026825,0.5046717125457134,0.5855298660370314,0.5751953125,0.4368489583333333,0.5804036458333334,0.5591779781191484,0.5693043616773072,0.5549622411342129
CMCC-SPSv3.5,December,0.38069325838462353,0.5385137504769567,0.4315934225294865,0.5364583333333334,0.5260416666666666,0.5419921875,0.5920194126850176,0.531075553604389,0.5408876187707259,0.5582682291666666,0.5944010416666666,0.6298828125,0.5473606659334554,0.5207194761345406,0.5775387108652491
CMCC-SPSv3.5,January,0.4795963732917668,0.5375053875711242,0.4436213643514964,0.6259765625,0.5393880208333334,0.7587890625,0.5373707856031245,0.5241188132794904,0.5522102783317852,0.5520833333333334,0.4309895833333333,0.5758463541666666,0.5727705235122715,0.6178486178117879,0.6119079992422541
CMCC-SPSv3.5,February,0.5163390056250898,0.5060935191447348,0.47079151614324644,0.7288411458333334,0.6256510416666666,0.779296875,0.520251592194797,0.514635504336711,0.5354125890733256,0.6302083333333334,0.5032552083333334,0.6826171875,0.5393051314111578,0.4907823631409231,0.5650719616465751
NCEP-CFSv2,December,0.30841629006880994,0.47825546041213457,0.3912398610843497,0.568359375,0.6295572916666666,0.6907552083333334,0.49551880471705745,0.4775367777011621,0.4960313128639345,0.6022135416666666,0.4899088541666667,0.5712890625,0.5002139320349175,0.47116027842177416,0.5076514218008138
NCEP-CFSv2,January,0.43429784150076245,0.5368332439100403,0.515627988602225,0.6051432291666666,0.4720052083333333,0.6555989583333334,0.4340447783258654,0.482104907534367,0.42447224960137003,0.5481770833333334,0.4007161458333333,0.5166015625,0.5106606445483683,0.47017419539937183,0.4669709877709623
NCEP-CFSv2,February,0.4066932655477847,0.498688623167341,0.49303732038137604,0.7047526041666666,0.60546875,0.8125,0.5080581817180838,0.484389556268863,0.4425495529432903,0.5419921875,0.5439453125,0.57421875,0.577600390072012,0.46114018482383856,0.5656642645806169
JMA-CPS3,December,0.5317519163378329,0.37843888309998974,0.39133610320549805,0.4635416666666667,0.572265625,0.615234375,0.5230865149752552,0.5001599803546366,0.487501942870755,0.4723307291666667,0.4228515625,0.4873046875,0.528016743739956,0.5106321010147724,0.5787376741551573
JMA-CPS3,January,0.3741333832378074,0.636339108218453,0.4590600405240294,0.6123046875,0.4694010416666667,0.56640625,0.4246267461710715,0.48654810194740433,0.45629533068827016,0.5986328125,0.5068359375,0.7037760416666666,0.6176722389560766,0.5292194542109768,0.5425064564216351
JMA-CPS3,February,0.43641715315208435,0.44540094760432797,0.4358281051954257,0.6998697916666666,0.6048177083333334,0.7770182291666666,0.4701477454172456,0.5414570324648526,0.5294524334232411,0.6298828125,0.4788411458333333,0.5628255208333334,0.5672291495754868,0.4816008352431684,0.5992582521780869
ECCC-GEM5-NEMO,December,0.40066971686491154,0.5481534585198685,0.4663861751384655,0.4752604166666667,0.5361328125,0.4619140625,0.468883002651244,0.44848749398848614,0.45921627004201854,0.5016276041666666,0.4889322916666667,0.5234375,0.4531060484716267,0.4788628590076231,0.4828854299905516
ECCC-GEM5-NEMO,January,0.5106132582416273,0.4936102363308966,0.5003739533612769,0.5081380208333334,0.5966796875,0.59375,0.5242022934592764,0.47896237265703673,0.5308774173035077,0.5677083333333334,0.5582682291666666,0.4651692708333333,0.5430131459899985,0.5722549630585883,0.5994039324317327
ECCC-GEM5-NEMO,February,0.4648859562799266,0.5148565646158573,0.47838105482853,0.6848958333333334,0.5188802083333334,0.7643229166666666,0.5899782760620508,0.4909708819079791,0.5482236094779834,0.5771484375,0.5810546875,0.6487630208333334,0.6414278711422015,0.5253096629125048,0.6631871552666257
