,,t2m (IP),t2m (IP),t2m (IP),t2m (CI),t2m (CI),t2m (CI),tp (IP),tp (IP),tp (IP),tp (CI),tp (CI),tp (CI),msl,msl,msl
,,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper,lower,middle,upper
CMCC-SPSv3.5,July,0.5872962543160971,0.34117683120489756,0.5171987401668067,0.6806640625,0.5315755208333334,0.7034505208333334,0.6121960389016635,0.5046440613212853,0.6196617015143473,0.5524088541666666,0.4970703125,0.5104166666666666,0.6547536288478533,0.48371551332234547,0.5750421164605272
CMCC-SPSv3.5,August,0.5861450060021122,0.5248834205244842,0.4766475759394145,0.7272135416666666,0.5009765625,0.7727864583333334,0.571524391077102,0.5192825349968677,0.6124279033160488,0.58984375,0.5393880208333334,0.49609375,0.5154165634930555,0.4954229801904272,0.5298455363044948
NCEP-CFSv2,June,0.4994661297273247,0.5482683807055366,0.5528905052088583,0.7415364583333334,0.5836588541666666,0.6516927083333334,0.47591406222425037,0.5095794237922213,0.5635488447448862,0.4342447916666667,0.5690104166666666,0.3623046875,0.47953630689033444,0.5102468929179279,0.5179565816237915
NCEP-CFSv2,July,0.5442346816895192,0.6291865017260919,0.6500155955266834,0.6936848958333334,0.4850260416666667,0.6949869791666666,0.5080393254096865,0.4919541328485842,0.5303487566127871,0.5582682291666666,0.4401041666666667,0.5074869791666666,0.6487956263186316,0.5097962114421049,0.6344481353995806
NCEP-CFSv2,August,0.4938012333882167,0.5771612941398739,0.4639512539470945,0.6695963541666666,0.49609375,0.6744791666666666,0.4943904104188986,0.5210816976416655,0.4823131374543284,0.3837890625,0.548828125,0.5130208333333334,0.5915361136050039,0.42868722914189317,0.5672282072112831
JMA-CPS3,June,0.6184186785538707,0.6118557855068759,0.5600082804734516,0.6194661458333334,0.369140625,0.6227213541666666,0.5281461456731603,0.5106601885311918,0.5200398605318189,0.5452473958333334,0.5533854166666666,0.5016276041666666,0.5572007505624791,0.5349334960304951,0.6350896264132683
JMA-CPS3,July,0.5741325035468573,0.49150349705031754,0.4449724291354509,0.7216796875,0.6800130208333334,0.576171875,0.4827355946260313,0.5055717737079711,0.4451804056085635,0.4729817708333333,0.5641276041666666,0.4658203125,0.5738306443341716,0.5385660724483445,0.5619287923828056
JMA-CPS3,August,0.6223787987398716,0.4541355179516788,0.5383153351386438,0.6845703125,0.5556640625,0.7008463541666666,0.5931019554552467,0.5052749412972053,0.5943645825176568,0.6097005208333334,0.5250651041666666,0.5709635416666666,0.480850788201726,0.4880397966353088,0.5139749182507898
ECCC-GEM5-NEMO,June,0.4139180061541956,0.4153538349427224,0.40710007528893205,0.4270833333333333,0.431640625,0.5227864583333334,0.6057650038940837,0.5339925294423943,0.5885365770321865,0.4716796875,0.5247395833333334,0.3440755208333333,0.608921172450048,0.5234696286228703,0.6159490893171741
ECCC-GEM5-NEMO,July,0.4728819674124502,0.4812425171352375,0.5697038454695468,0.5530598958333334,0.5244140625,0.5442708333333334,0.47844777175533115,0.5108953509190187,0.49365309525795253,0.55078125,0.4973958333333333,0.41015625,0.5236840225631991,0.49625780259939023,0.5508990797386011
ECCC-GEM5-NEMO,August,0.44617540889680707,0.46729306619223565,0.48694758813074956,0.63671875,0.4059244791666667,0.5602213541666666,0.39040726879145293,0.4570142068734217,0.4051456331600987,0.4521484375,0.4947916666666667,0.4514973958333333,0.44801844591978024,0.4553812596596488,0.5067155348719494
